timestamp,price,market_cap,total_volume
2026-09-11 19:00:00+07:00,76995.9749893298,1546288452845.7634,28747077001.916862
2026-09-11 20:00:00+07:00,77960.78847453994,1565669909286.2405,30001239398.587944
2026-09-11 21:00:00+07:00,79157.09397934795,1589695057926.2273,31417203803.7552
2026-09-11 22:00:00+07:00,78783.77426720792,1582197757664.4177,33140845517.32774
2026-09-11 23:00:00+07:00,77694.26915459464,1560317458552.3943,33728328434.917515
2026-09-12 00:00:00+07:00,77917.11232828967,1564798146824.8662,34464081900.513824
2026-09-12 01:00:00+07:00,77517.25102199247,1556767789790.5276,34294722433.590466
2026-09-12 02:00:00+07:00,77036.83954890422,1547119755355.7483,34873833486.78443
2026-09-12 03:00:00+07:00,77281.64507604482,1552039781742.6355,35066311988.69574
2026-09-12 04:00:00+07:00,77315.11940187341,1552712043381.2417,35347865608.546295
2026-09-12 05:00:00+07:00,77082.59662937514,1548042311095.868,35207455914.46385
2026-09-12 06:00:00+07:00,77128.66953731132,1548967588836.8782,35903250667.27777
2026-09-12 07:00:00+07:00,77203.53444805603,1550479277152.1194,35407367571.01674
2026-09-12 08:00:00+07:00,77276.52849901545,1551945217334.4836,34948557292.06022
2026-09-12 09:00:00+07:00,77263.21057723957,1551677753391.5977,34468558790.6569
2026-09-12 10:00:00+07:00,77256.74504889011,1551547906127.5654,34234432938.98141
2026-09-12 11:00:00+07:00,77257.54865785275,1551564045013.5947,33406264883.728294
2026-09-12 12:00:00+07:00,77213.83327769832,1550694293306.8423,33423159843.170433
2026-09-12 13:00:00+07:00,77204.03182949341,1550499611408.2678,33750144457.974747
2026-09-12 14:00:00+07:00,77277.42306540738,1551973538094.0747,33634562501.79305
2026-09-12 15:00:00+07:00,77257.61617745076,1551578225774.5747,33443971597.72793
2026-09-12 16:00:00+07:00,77342.538050849,1553283726619.3594,33257574353.60949
2026-09-12 17:00:00+07:00,77330.8329850539,1553048651734.61,32787654114.282654
2026-09-12 18:00:00+07:00,77316.51970578285,1552767922179.4,32440525411.360973
2026-09-12 19:00:00+07:00,77340.17370771468,1553242971697.5454,31939487296.590706
2026-09-12 20:00:00+07:00,77317.17427010927,1552781067966.2634,27799495036.70209
2026-09-12 21:00:00+07:00,77346.67342745706,1553379308272.5652,25212744849.489326
2026-09-12 22:00:00+07:00,77445.64426190322,1555366972893.9185,21759624036.94504
2026-09-12 23:00:00+07:00,77366.92475804272,1553786022569.4153,20201216810.417828
2026-09-13 00:00:00+07:00,77348.92912166193,1553428709632.694,18620551680.468117
2026-09-13 01:00:00+07:00,77193.15949246142,1550300327419.3047,17974747974.275215
2026-09-13 02:00:00+07:00,77123.41691461387,1548900894003.4578,17002946128.904541
2026-09-13 03:00:00+07:00,77113.63783668954,1548704496811.1978,16947217294.061329
2026-09-13 04:00:00+07:00,77152.51919688155,1549485366953.766,16784079037.519001
2026-09-13 05:00:00+07:00,77245.60981926684,1551354943717.9226,16714650155.875277
2026-09-13 06:00:00+07:00,77218.57922842517,1550812077387.6294,15711483093.750526
2026-09-13 07:00:00+07:00,77261.62722069985,1551683581240.4167,15195615506.929926
2026-09-13 08:00:00+07:00,77258.52592022326,1551622532421.1147,15194823574.958746
2026-09-13 09:00:00+07:00,77302.98579705298,1552516911647.673,15425515886.693323
2026-09-13 10:00:00+07:00,77273.86828489418,1551934061036.2964,15350602828.512222
2026-09-13 11:00:00+07:00,77177.99013195191,1550008486782.5037,15282311466.724869
2026-09-13 12:00:00+07:00,77192.12247162955,1550292314417.8306,15118279231.612349
2026-09-13 13:00:00+07:00,77299.3303692544,1552451459581.1902,14542862441.304907
2026-09-13 14:00:00+07:00,77098.83617669597,1548426735069.6257,14742500666.60643
2026-09-13 15:00:00+07:00,77101.20979166444,1548474405943.2498,14675726287.465492
2026-09-13 16:00:00+07:00,76790.97168368855,1542243689573.8567,14921026323.221628
2026-09-13 17:00:00+07:00,76774.74504686284,1541921868394.6196,15429199502.742489
2026-09-13 18:00:00+07:00,76639.40143000401,1539203666172.5889,15432761961.99272
2026-09-13 19:00:00+07:00,76752.89745255162,1541483087602.5806,15683303707.02378
2026-09-13 20:00:00+07:00,76730.11419513759,1541025515222.2551,15790539837.140831
2026-09-13 21:00:00+07:00,76827.75244836867,1542986453780.3313,15351604026.017689
2026-09-13 22:00:00+07:00,77186.99824765752,1550201442950.4585,15781636756.192661
2026-09-13 23:00:00+07:00,77112.0023446134,1548704191824.8125,15752406316.005302
2026-09-14 00:00:00+07:00,77261.01354899621,1551697602572.8315,16019726500.412092
2026-09-14 01:00:00+07:00,77304.39364979762,1552568841446.3706,15964962326.329851
2026-09-14 02:00:00+07:00,77322.83387513856,1552939191926.361,15585976335.664717
2026-09-14 03:00:00+07:00,77256.82950352236,1551613570885.534,15169799376.183811
2026-09-14 04:00:00+07:00,77321.00762265742,1552909549980.9028,14929316281.806286
2026-09-14 05:00:00+07:00,77263.3336825517,1551751230720.3433,14787941932.544365
2026-09-14 06:00:00+07:00,76682.56817293397,1540087178040.2974,15579620760.23573
2026-09-14 07:00:00+07:00,76819.04496746542,1542831471374.2715,16138951580.829596
2026-09-14 08:00:00+07:00,76766.97307322748,1541785660960.4814,16743047252.682852
2026-09-14 09:00:00+07:00,77070.31000728291,1547880337397.2,17123571168.428473
2026-09-14 10:00:00+07:00,77570.55529884281,1557927265333.625,18478637019.95591
2026-09-14 11:00:00+07:00,77551.75331241178,1557551817630.8308,19331354892.65918
2026-09-14 12:00:00+07:00,77644.99458254549,1559425409930.6108,19658908717.22034
2026-09-14 13:00:00+07:00,77585.97976119716,1558240153721.0134,19909347039.84479
2026-09-14 14:00:00+07:00,77556.33204977703,1557648585626.6025,20079514828.9111
2026-09-14 15:00:00+07:00,77852.74279105471,1563603439280.9639,20418753413.98682
2026-09-14 16:00:00+07:00,77697.78667140036,1560491282753.872,20502581498.62575
2026-09-14 17:00:00+07:00,78113.21706168602,1568834834486.8643,21008440571.109196
2026-09-14 18:00:00+07:00,77879.63832939527,1564143612365.9824,21400720026.34342
2026-09-14 19:00:00+07:00,77729.73391218342,1561132914811.6917,21555273518.73181
2026-09-14 20:00:00+07:00,77648.74922001359,1559506408940.9133,22005759633.60556
2026-09-14 21:00:00+07:00,78167.60870876731,1569927242581.884,23526425611.51832
2026-09-14 22:00:00+07:00,78476.07323013752,1576133544628.8289,25011366781.766994
2026-09-14 23:00:00+07:00,78561.78960637822,1577855094272.6394,26297048833.843723
2026-09-15 00:00:00+07:00,78760.57618669112,1581847574841.0083,27129659809.497692
2026-09-15 01:00:00+07:00,78928.36036442495,1585217395219.364,28223239825.04736
2026-09-15 02:00:00+07:00,79208.67421437381,1590847290342.0825,29822404101.735836
2026-09-15 03:00:00+07:00,78986.36847021278,1586382444866.0818,30763077693.47152
2026-09-15 04:00:00+07:00,79095.98825234124,1588594675495.44,32139267516.68492
2026-09-15 05:00:00+07:00,78752.62563068564,1581700888022.0808,32944939224.64807
2026-09-15 06:00:00+07:00,78539.73849882335,1577425173240.276,32478188091.13792
2026-09-15 07:00:00+07:00,78173.35158344489,1570066504182.9238,32369566520.9512
2026-09-15 08:00:00+07:00,77947.75375697915,1565535502459.5007,32135555828.390846
2026-09-15 09:00:00+07:00,77914.82487731134,1564874144977.1943,32376715416.573685
2026-09-15 10:00:00+07:00,77885.53242277539,1564291664403.1025,31271809397.323826
2026-09-15 11:00:00+07:00,77649.53357250191,1559551746438.7805,30631518126.35101
2026-09-15 12:00:00+07:00,77553.34934800449,1557619934766.5986,30960816395.649395
2026-09-15 13:00:00+07:00,77613.70136217166,1558832074553.7312,31297238855.060688
2026-09-15 14:00:00+07:00,77250.88177147276,1551553523532.6125,31020577275.276173
2026-09-15 15:00:00+07:00,76901.98818177807,1544546133247.669,31431024215.54751
2026-09-15 16:00:00+07:00,76930.03726083726,1545109487949.2356,31974513491.618977
2026-09-15 17:00:00+07:00,76965.81078393573,1545827985065.9,31465977911.84698
2026-09-15 18:00:00+07:00,77022.84521789337,1546973499200.3723,31842941781.568798
2026-09-15 19:00:00+07:00,76908.56708883471,1544685189774.85,31909874484.44563
2026-09-15 20:00:00+07:00,76930.76343293399,1545130996598.3955,32007686264.70229
2026-09-15 21:00:00+07:00,76548.36571655248,1537453333906.5789,32666690518.793045
2026-09-15 22:00:00+07:00,75903.01064422875,1524493220745.7053,34111243702.350426
2026-09-15 23:00:00+07:00,76487.74001260675,1536237365681.4236,34958051572.581055
2026-09-16 00:00:00+07:00,76348.08889562926,1533434874281.5122,34712942488.844604
2026-09-16 01:00:00+07:00,76912.76082931667,1544776188100.486,35452342086.731
2026-09-16 02:00:00+07:00,75965.38663268033,1525748381993.8716,38608992471.18075
2026-09-16 03:00:00+07:00,76112.81468027529,1528709442485.3582,39833428783.67552
2026-09-16 04:00:00+07:00,75886.40225495906,1524161997827.9656,39652512141.73348
2026-09-16 05:00:00+07:00,75383.70543389375,1514076296012.9646,39195291321.24173
2026-09-16 06:00:00+07:00,75645.58490916989,1519336126418.5637,39561596792.91902
2026-09-16 07:00:00+07:00,75590.24471973324,1518224622698.2222,39803154169.39753
2026-09-16 08:00:00+07:00,75725.34326068543,1520938067166.152,39736266269.59647
